iter	Passed	Remaining
726	4584	1721
727	4590	1715
728	4596	1708
729	4602	1702
730	4608	1695
731	4614	1689
732	4621	1683
733	4627	1677
734	4634	1670
735	4640	1664
736	4647	1658
737	4654	1652
738	4660	1645
739	4666	1639
740	4672	1633
741	4678	1626
742	4685	1620
743	4691	1614
744	4697	1607
745	4702	1601
746	4709	1594
747	4715	1588
748	4720	1582
749	4727	1575
750	4733	1569
751	4739	1563
752	4745	1556
753	4751	1550
754	4757	1543
755	4763	1537
756	4769	1531
757	4775	1524
758	4781	1518
759	4787	1511
760	4793	1505
761	4799	1499
762	4805	1492
763	4811	1486
764	4817	1479
765	4823	1473
766	4830	1467
767	4836	1461
768	4842	1454
769	4848	1448
770	4854	1441
771	4860	1435
772	4866	1429
773	4872	1422
774	4878	1416
775	4884	1409
776	4890	1403
777	4895	1397
778	4901	1390
779	4907	1384
780	4913	1377
781	4919	1371
782	4925	1365
783	4931	1358
784	4937	1352
785	4943	1346
786	4950	1339
787	4955	1333
788	4961	1326
789	4968	1320
790	4974	1314
791	4980	1308
792	4986	1301
793	4992	1295
794	4998	1288
795	5004	1282
796	5010	1276
797	5016	1269
798	5021	1263
799	5028	1257
800	5033	1250
801	5039	1244
802	5045	1237
803	5051	1231
804	5058	1225
805	5064	1219
806	5070	1212
807	5076	1206
808	5082	1199
809	5088	1193
810	5094	1187
811	5100	1180
812	5106	1174
813	5112	1168
814	5119	1161
815	5124	1155
816	5131	1149
817	5137	1143
818	5143	1136
819	5149	1130
820	5155	1124
821	5161	1117
822	5167	1111
823	5172	1104
824	5179	1098
825	5185	1092
826	5190	1085
827	5196	1079
828	5202	1073
829	5209	1066
830	5215	1060
831	5221	1054
832	5227	1048
833	5233	1041
834	5240	1035
835	5246	1029
836	5252	1022
837	5259	1016
838	5265	1010
839	5271	1004
840	5276	997
841	5282	991
842	5288	984
843	5294	978
844	5300	972
845	5306	965
846	5312	959
847	5318	953
848	5324	946
849	5330	940
850	5336	934
851	5342	927
852	5348	921
853	5354	915
854	5360	909
855	5366	902
856	5372	896
857	5378	890
858	5384	883
859	5390	877
860	5396	871
861	5402	864
862	5409	858
863	5415	852
864	5421	846
865	5427	839
866	5433	833
867	5439	827
868	5445	820
869	5451	814
870	5457	808
871	5463	801
872	5469	795
873	5475	789
874	5481	783
875	5487	776
876	5493	770
877	5498	764
878	5505	757
879	5511	751
880	5517	745
881	5524	739
882	5529	732
883	5536	726
884	5542	720
885	5548	713
886	5555	707
887	5560	701
888	5566	695
889	5573	688
890	5579	682
891	5585	676
892	5591	670
893	5597	663
894	5603	657
895	5609	651
896	5615	644
897	5621	638
898	5627	632
899	5633	625
900	5640	619
901	5646	613
902	5652	607
903	5658	600
904	5665	594
905	5671	588
906	5677	582
907	5683	575
908	5690	569
909	5696	563
910	5701	557
911	5707	550
912	5713	544
913	5719	538
914	5725	531
915	5731	525
916	5737	519
917	5743	513
918	5749	506
919	5756	500
920	5762	494
921	5768	488
922	5774	481
923	5780	475
924	5786	469
925	5792	462
926	5798	456
927	5804	450
928	5810	444
929	5816	437
930	5822	431
931	5828	425
932	5834	418
933	5841	412
934	5847	406
935	5853	400
936	5859	393
937	5865	387
938	5871	381
939	5877	375
940	5884	368
941	5890	362
942	5896	356
943	5902	350
944	5908	343
945	5914	337
946	5921	331
947	5926	325
948	5932	318
949	5938	312
950	5945	306
951	5951	300
952	5957	293
953	5963	287
954	5970	281
955	5976	275
956	5982	268
957	5988	262
958	5994	256
959	6001	250
960	6007	243
961	6013	237
962	6019	231
963	6025	225
964	6031	218
965	6038	212
966	6044	206
967	6050	200
968	6056	193
969	6062	187
970	6068	181
971	6074	174
972	6080	168
973	6086	162
974	6092	156
975	6098	149
976	6103	143
977	6109	137
978	6116	131
979	6122	124
980	6128	118
981	6134	112
982	6141	106
983	6147	99
984	6153	93
985	6158	87
986	6164	81
987	6170	74
988	6177	68
989	6183	62
990	6189	56
991	6195	49
992	6201	43
993	6207	37
994	6213	31
995	6219	24
996	6225	18
997	6231	12
998	6237	6
999	6243	0
