MLA,EWAQ_Capital,XX_MLA,01_CURR_ACC,EWAQ_GrossLoans,02_TIME_DEPOSIT,XX_TOTAL_LIQUID_ASSET,EWAQ_NPL,03_SAVINGS,XX_BAL_IN_OTHER_BANKS,EWAQ_NPLsNetOfProvisions,XX_BOT_BALANCE,LR,INF,10_FOREIGN_DEPOSITS_AND_BORROWINGS,EWAQ_NPLsNetOfProvisions2CoreCapital,F125_LIAB_TOTAL,F077_ASSETS_TOTAL,19_BANKS_ABROAD,DR
34.08867433,48613468014.0,36.50404583,61497389188.0,178000000000.0,20350115321.0,97273461285.0,18206704273.0,31815341.62,45432179965.0,13922617255.0,29094515952.0,16.82258257,3.70485527,116000000000.0,0.287316961,237000000000.0,287000000000.0,34131084806.0,6.88786831
28.89041252,174000000000.0,31.19218122,270000000000.0,786000000000.0,53655849029.0,547000000000.0,56544024032.0,38438140765.0,51271034484.0,34646152743.0,162000000000.0,15.82831404,4.665479797,799000000000.0,0.199316509,1260000000000.0,1450000000000.0,51271034484.0,9.33349638
55.08498312,50559014021.0,51.70624467,79653668767.0,227000000000.0,128000000000.0,146000000000.0,44176356531.0,20746296871.0,4507536392.0,41660694518.0,20040910147.0,17.49165811,3.38475845,525990147.3,0.823920234,343000000000.0,415000000000.0,4507536392.0,8.234748288
65.64563708,117000000000.0,65.5279073,143000000000.0,185000000000.0,4687853667.0,371000000000.0,12000878379.0,0.0,188000000000.0,8942356335.0,83038077263.0,15.71669957,6.181186445,304000000000.0,0.07659986,578000000000.0,703000000000.0,173000000000.0,9.07877599
42.34549907,17915988217.0,36.71178866,10746297812.0,53911982165.0,51907628233.0,47873830709.0,42796040.19,10917752260.0,2988696926.0,9853095.669,9201237014.0,16.21943872,6.634333008,0.0,0.000547392,116000000000.0,136000000000.0,2967667919.0,9.194578922
1.652435164,8434644942.0,21.75140009,30899261060.0,135000000000.0,68990666854.0,35600662563.0,13104984080.0,44082450541.0,6582589959.0,3576637168.0,13202180318.0,16.77823514,3.50011981,19691632523.0,0.434784035,188000000000.0,205000000000.0,6133036049.0,6.821197284
36.04832197,9211144080.0,35.10141907,23550113360.0,55465625962.0,41150595.13,27603207803.0,5175281094.0,11154278520.0,3509904150.0,4910723984.0,7898418000.0,16.35537431,5.829377842,24761172364.0,0.533136938,78675573820.0,90951211281.0,1940220600.0,8.754906848
44.95217675,57164600685.0,41.22621535,119000000000.0,288000000000.0,78860108625.0,183000000000.0,29145313598.0,27352648616.0,13687467614.0,25438394382.0,27386759805.0,16.58092554,3.253327996,81999554984.0,0.445220469,434000000000.0,510000000000.0,13687467614.0,6.769143382
40.75188035,227000000000.0,40.09135324,602000000000.0,964000000000.0,112000000000.0,689000000000.0,73447007525.0,362000000000.0,76987797138.0,65947582397.0,159000000000.0,16.83906285,3.613284361,323000000000.0,0.290277183,1620000000000.0,1900000000000.0,76987797138.0,7.410377482
44.09350565,31579573247.0,44.60813652,9376464842.0,81104471694.0,58309994378.0,49589027688.0,4032578177.0,26550763611.0,3152773072.0,606739322.0,12120387035.0,16.04769394,5.722499414,8845906513.0,0.018891986,121000000000.0,154000000000.0,2139271338.0,8.316156614
